,Answer,OptionA,OptionB,OptionC,OptionD,Questions
0,: B, चचेरी बहन, भतीजी, चाची, भतीजा,"  A , D का भाई है, D, B का पिता है, B और C बहने हैं। C का A से संबंध बताइए ? "
1,: A, बहन, पुत्री, पोती, चचेरी बहन," एक फोटो की ओर इशारा करते हुए राकेश ने कहा, यह मेंरे दादा की एकमात्र पुत्र की पुत्री है । लडकी का राकेश से संबंध बताइए? "
2,: A, चचेरा भाई, भाई, बेटा, भतीजा," एक पुरुष ने एक महिला से कहा, '' तुम्हारी माता के पति की बहन मेरी माता है।“ उस पुरुष का उस महिला से क्या संबंध है ? "
3,:D, A, C, K, F," F, A का भाई है। C, A की पुत्री है। K, F की बहन है। G, C का भाई है। G का चाचा कौन है ? "
4,: C, बहन, पुत्री, भतीजी, चचेरी बहन," A, B की बहन है। B की शादी D से हुई है। B और D की पुत्री 'G' है। G का A से क्या सम्बन्ध है ? "
5,: A, बहनोई, भाई, चाचा, भानजा/भतीजा," एक महिला एक आदमी की ओर इशारा करते हुए कहती है कि ""वह मेरे चाचा के भाई की बेटी का विधुर है। वह आदमी उस औरत से किस प्रकार सम्‍बन्धित है ? "
6,: D, पुत्र, भाई, पति, पिता,"  एक महिला का परिचय देते हुए पुरुष ने कहा, "" कि उसकी माता मेरी सास की एक मात्र पुत्री है।"" पुरुष का महिला के साथ क्या संबंध है ? "
7,: B, माता, पत्नी, बहन, भाई,"  X और Y भाई हैं। R , Y का पिता है, T, S की बहन है। S, X का मामा है। T का R से क्या संबंध है ? "
8,: D, माता, दादी, बहन, चाची/बुआ,"  P और Q बहनें हैं। R और S भाई हैं। P, की लड़की R की बहन है। तो फिर Q का S से क्या सम्बन्ध है ? "
9,: B, चचेरा/फुफेरा/ममेरा/मौसेरा भाई, भाई, चाचा, जीजा/देवर/जेठ/नन्‍दोई," एक लड़के की ओर इशारा करते हुए मीरा ने कहा,""यह मेरे दादा के इकलोते पुत्र का पुत्र है।"" उस लड़के का मीरा से क्‍या सम्‍बन्‍ध है ? "
10,: A, भाभी, सास, बहन, माता," P तथा Q भाई हैं। P, S का पिता है। R, Q का एकमात्र पुत्र है तथा वह U से विवाहित है। U, S से किस प्रकार संबंधित है? "
11,:D, हितेश, सन्नी, विक्की, नितिन," हितेश, सन्नी, विक्की, नितिन तथा भरत को उनकी ऊँचाई के अनुसार ऊपर से बढ़ते क्रम में  व्यवस्थित किया जाता है। हितेश तीसरे स्थान पर है। भरत, नितिन तथा हितेश के मध्य है जबकि नितिन सबसे नीचे नहीं है। उनमें से सबसे ऊँचा कौन है? "
12,: D, पुत्री, पोती, भतीजी, चचेरी/ममेरी बहन," पुनीत एक स्त्री से कहता है कि, ""तुम्हारे पिताजी की पत्नी की बहन मेरी बुआ है।"" वह स्त्री, पुनीत से किस प्रकार संबंधित है? "
13,: B, उत्तर-पूर्व, उत्तर-पश्चिम, दक्षिण-पूर्व, दक्षिण-पश्चिम," पुनीत बिन्दु R से पश्चिम दिशा में 10 कि.मी. सीधा चला, फिर वह दायें मुड़कर 12 कि.मी. चला तथा पुनः दायें मुड़कर 7 कि.मी. सीधा चला। वह बिन्दु R से किस दिशा में है? "
14,:D, दादा, पिता, ममेरा भाई, मामा,"पूर्व 2) उत्तर-पश्चिम 3) दक्षिण-पूर्व 4) दक्षिण-पश्चिम Correct Answer: B QID : 110 - पूनम, अक्षय से कहती है कि, ""कल उसने अक्षय की इकलौती बहन की पुत्री स्नेहा को विद्यालय स्तर के ताइकोंडों प्रतियोगिता में हराया था।""  अक्षय, स्नेहा से किस प्रकार संबंधित है? "
15,: B, बुआ, बहन, माता, पत्नी," एक व्यक्ति की और संकेत करते हुए रीतिका ने कहा, ''वह मेरे दादाजी के एकमात्र पुत्र का पुत्र है।'' रीतिका उस व्यक्ति से किस प्रकार संबंधित है? "
